Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
4376.6,VROUWE KORNELIA HILLEGONDA,"Dometius, Sijbrand",850,"",1760,Delft,Hoorn,30-07-1780,Texel,18-11-1780,15-12-1780,07-05-1781,Batavia,"","According to K.A. 4390a the crew consisted of 264 men, when the ship departed from Texel. In 1784 the  VROUWE KORNELIA HILLEGONDA was laid up in the Indies.","{""Soldiers""=>{""I""=>51, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>12}, ""Craftsmen""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>0}}"
4377.6,ZILVEREN LEEUW,"Snijders, Johan",880,"",1765,Delft,Delft,05-08-1780,Goeree,16-12-1780,12-01-1781,13-05-1781,Batavia,"","The ZILVEREN LEEUW was laid up in the Indies, 31-12-1786.","{""Soldiers""=>{""I""=>53, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>15}, ""Craftsmen""=>{""I""=>2, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>4}, ""Passengers""=>{""I""=>3, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>3}}"
4378.4,HUIS TE KROOSWIJK,"Volkers, Herman",850,"",1770,Rotterdam,Rotterdam,07-08-1780,Goeree,22-11-1780,15-12-1780,19-04-1781,Batavia,"",In 1787 the HUIS TE KROOSWIJK was laid up in the Indies.,"{""Soldiers""=>{""I""=>39, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>24}, ""Craftsmen""=>{""I""=>3, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}, ""Passengers""=>{""I""=>5, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4379:4,HOOP,"Borch, Theunis Hans",800,fluit,bought,Amsterdam,Amsterdam,23-08-1780,Texel,21-01-1781,17-02-1781,15-05-1781,Batavia,"",The HOOP carried wood for masts.,"{""Passengers""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>0}}"
4380.1,TROMPENBURG,"Elders jr., Hendrik",1150,"",1778,Amsterdam,Amsterdam,23-08-1780,Texel,21-12-1780,12-01-1781,12-05-1781,Batavia,"",In 1788 the ship was wrecked in the Indies.,"{""Soldiers""=>{""I""=>83, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>58}, ""Craftsmen""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}, ""Passengers""=>{""I""=>9, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4381.1,SLOT TER HOGE,"Halfman, Lambert Arnout",1150,"",1776,Zeeland,Zeeland,27-08-1780,Rammekens,31-12-1780,30-01-1781,19-04-1781,Batavia,"","","{""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>21}, ""Craftsmen""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>11}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>5}}"
4382.3,HOF TER LINDEN,"Abo, Thoger",1150,"",1772,Zeeland,Amsterdam,28-10-1780,Texel,15-02-1781,"",31-05-1781,Batavia,"",During the voyage two members of the crew deserted. The date of departure from the Cape is unknown.,"{""Soldiers""=>{""I""=>50, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>40}, ""Craftsmen""=>{""I""=>4, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>5}, ""Passengers""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4384.3,MERENBERG,"Montagne, Jan",850,"",1773,Hoorn,Enkhuizen,30-11-1780,Texel,01-05-1781,16-05-1781,30-07-1781,Batavia,"",During the voyage one man deserted.,"{""Seafarers""=>{""I""=>190, ""II""=>7, ""III""=>24, ""IV""=>26, ""V""=>11, ""VI""=>178}, ""Soldiers""=>{""I""=>21, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>21}, ""Craftsmen""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}}"
4385.1,DIAMANT,"Frederiks, Jakob",1150,"",1779,Amsterdam,Amsterdam,18-12-1780,Texel,02-04-1781,17-04-1781,09-07-1781,Batavia,"","","{""Soldiers""=>{""I""=>60, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>38}, ""Craftsmen""=>{""I""=>8, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}, ""Passengers""=>{""I""=>2, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>4}}"
4387.5,MERCUUR,"Roem, Klaas",850,"",1770,Delft,Amsterdam,19-12-1780,Texel,14-04-1781,08-05-1781,20-07-1781,Batavia,"",In 1782 the ship sank in the Indies.,"{""Seafarers""=>{""I""=>182, ""II""=>3, ""III""=>44, ""IV""=>1, ""V""=>5, ""VI""=>136}, ""Soldiers""=>{""I""=>5, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>4}, ""Passengers""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>0}}"
4388.2,VRIENDSCHAP,"Bast, Paulus",850,"",1774,Delft,Hoorn,19-12-1780,Texel,14-04-1781,08-05-1781,20-07-1781,Batavia,"","During the voyage one man deserted. The VRIENDSCHAP was laid up in the Indies, 31-12-1787.","{""Soldiers""=>{""I""=>39, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>22}, ""Craftsmen""=>{""I""=>2, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4390.1,VROUWE KATHARINA WILHELMINA,"Prooien, Pieter van",880,"",1778,Rotterdam,Rotterdam,25-12-1780,Goeree,"","","","","","The VROUWE KATHARINA WILHELMINA was bound for China. Soon after its departure from Goeree, however, it was seized by the English off Bevesier; in January, 1781, the ship arrived at Duins.","{""Total""=>{""I""=>765, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4392.5,BOT,"Schuts, Johan Frederik",1150,"",1768,Zeeland,Zeeland,07-07-1782,Texel,02-12-1782,11-04-1783,19-07-1783,Batavia,"","On 31-08-1781 the BOT sailed from Rammekens to Texel. Hence it departed on 11-09-1781; five days later the ship returned, however. According to K.A. 4390a the departing crew consisted of 267 men; during the voyage three of them deserted. The high death-rate was due to scurvy. In 1788 the BOT was laid up in the Indies. Between Texel and the Cape the BOT, the GANGES (4393), the HOLLAND (4394), the JAVA (4395), the SCHOONDERLOO  (4396),  the VOORBERG  (4397), the ZEEPAARD (4398), and the ZEEUW (4399) were accompanied by two Dutch men-of-war. Commandeur of this fleet was Jan Paardekoper aboard the GANGES.","{""Seafarers""=>{""I""=>125, ""II""=>108, ""III""=>80, ""IV""=>165, ""V""=>126, ""VI""=>107}, ""Soldiers""=>{""I""=>111, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>113}, ""Craftsmen""=>{""I""=>13, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>6}, ""Passengers""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}}"
4394.4,HOLLAND,"Vries, Isaak de",1150,"",1771,Amsterdam,Amsterdam,07-07-1782,Texel,02-12-1782,10-02-1783,03-08-1783,Ceylon,"","Originally the HOLLAND set out on 11-09-1781; five days later, however, it returned to Texel. The ship sailed via Mauritius. After having arrived at Ceylon the HOLLAND continued its voyage to Batavia; arrival: 16-11-1783. The high death-rate among the crew was due to scurvy. See also the BOT (4392).","{""Total""=>{""I""=>291, ""II""=>138, ""III""=>97, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4395.2,JAVA,"Tromp, Jan",850,"",1775,Enkhuizen,Hoorn,07-07-1782,Texel,02-12-1782,06-05-1783,30-07-1783,Batavia,"","Originally the JAVA departed on 11-09-1781; five days later, however, the ship returned to Texel. The high death-rate among the crew was due to scurvy. See also the BOT (4392).","{""Soldiers""=>{""I""=>16, ""II""=>"""", ""III""=>"""", ""IV""=>79, ""V""=>"""", ""VI""=>113}, ""Craftsmen""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4396.1,SCHOONDERLOO,"Berg, Jakob van den",880,"",1779,Delft,Delft,07-07-1782,Texel,02-12-1782,11-04-1783,18-07-1783,Batavia,"",On 10-09-1781 the SCHOONDERLOO departed from Goeree; six days later it arrived at Texel. During the voyage five members of the crew deserted. The high death-rate was due to scurvy. See also the BOT (4392).,"{""Soldiers""=>{""I""=>143, ""II""=>"""", ""III""=>"""", ""IV""=>96, ""V""=>"""", ""VI""=>160}, ""Craftsmen""=>{""I""=>2, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}, ""Passengers""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4398.3,ZEEPAARD,"Thijssen jr., Pieter",1150,"",1774,Amsterdam,Amsterdam,07-07-1782,Texel,02-12-1782,11-04-1783,18-07-1783,Batavia,"","Originally the ZEEPAARD set out on 11-09-1781; five days later, however, the ship returned to Texel. During the voyage three members of the crew deserted. The high death-rate was due to scurvy. See also the BOT (4392).","{""Seafarers""=>{""I""=>178, ""II""=>73, ""III""=>102, ""IV""=>69, ""V""=>88, ""VI""=>119}, ""Soldiers""=>{""I""=>74, ""II""=>"""", ""III""=>"""", ""IV""=>100, ""V""=>"""", ""VI""=>138}, ""Craftsmen""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>0}}"
4400.1,BERLIN,"Giessen, Arie van der",898,fluit,hired,"","",28-08-1782,Riga,06-01-1783,15-02-1783,24-05-1783,Batavia,"",The BERLIN flew the Prussian flag. During the voyage the ship called at Helsingør; departure: 14-09-1782.,"{""Total""=>{""I""=>36, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4402.1,LOUIS FRANCOIS,"Scipion,","","",hired,"","",02-09-1782,La Rochelle,22-01-1783,26-05-1783,"",Ceylon,"",The LOUIS FRANCOIS flew the Imperial (i.e.: Austrian) flag. The date of arrival at Ceylon is unknown.,{}
4404.1,KROONPRINS VAN PRUISEN,"Huizing, Dirk",760,"",hired,"","",07-09-1782,Texel,13-01-1783,"",(13-01-1783),The Cape,"",The KROONPRINS VAN PRUISEN flew the Prussian flag. It was bound for the Cape.,"{""Total""=>{""I""=>32, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4406.2,OOSTEREEM,"Land, Axel",1150,"",hired 1771,Amsterdam,Amsterdam,17-01-1783,Texel,"","","","","","The OOSTEREEM flew the Prussian flag. The ship was bound for China; on 21-01-1783, however, it ran aground at Goodwin's Sand and was wrecked. 4406/- Is the second voyage of this ship, which during the preceding voyage (4184/8014) was called VENUS.",{}
4408.3,BRESLAU,"Roos, Jan Kornelis",1150,"",hired 1774,Amsterdam,Zeeland,15-02-1783,Rammekens,27-05-1783,12-06-1783,06-08-1783,Batavia,"","The BRESLAU flew the Prussian flag. After having arrived at Batavia the ship sailed on to China, where it cast anchor on 11-10-1783. 4408/8101 Is the third voyage of this ship, which during its preceding voyages was called BLOK (numbers of the second voyage: 4327/8049).","{""Total""=>{""I""=>124, ""II""=>1, ""III""=>0, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4410.1,POTSDAM,"Muller, Bernard Christiaan",1150,"",hired 1780,Amsterdam,Amsterdam,25-02-1783,Texel,27-05-1783,12-06-1783,09-08-1783,Batavia,"","The POTSDAM flew the Prussian flag. The original date of departure was 17-01-1783; nine days later, however, the ship returned to Texel. After having arrived at Batavia the POTSDAM sailed on to China, where it cast anchor on 11-10-1783.","{""Total""=>{""I""=>129, ""II""=>1, ""III""=>0, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4411.1,GERECHTIGHEID,"Segon, Isaak",1150,"",1779,Amsterdam,Amsterdam,04-03-1783,Rammekens,19-07-1783,22-08-1783,08-11-1783,Batavia,"","On 24-11-1782 the GERECHTIGHEID departed from Texel for Rammekens. At Texel a mutiny broke out, but was suppressed.","{""Soldiers""=>{""I""=>135, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>118}, ""Craftsmen""=>{""I""=>6, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>6}, ""Passengers""=>{""I""=>6, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>5}}"
4413.6,WILLEM DE VIJFDE,"Kardon, Pieter",1150,"",1765,Zeeland,Zeeland,04-04-1783,Rammekens,19-07-1783,10-08-1783,02-11-1783,Ceylon,"","","{""Total""=>{""I""=>197, ""II""=>11, ""III""=>12, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4415.1,ROTTERDAMS WELVAREN,"Wit, Kornelis de",880,"",1780,Rotterdam,Rotterdam,19-04-1783,Goeree,08-08-1783,10-09-1783,17-11-1783,Batavia,"","","{""Seafarers""=>{""I""=>189, ""II""=>5, ""III""=>20, ""IV""=>"""", ""V""=>"""", ""VI""=>170}, ""Soldiers""=>{""I""=>98, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>57}}"
4417.4,OUWERKERK,"Six, Pieter",1150,"",1768,Zeeland,Zeeland,01-06-1783,Rammekens,14-11-1783,14-01-1784,26-04-1784,Batavia,"","From 06 till 24-06-1783 the OUWERKERK called at Duins. The ship was laid up in the Indies, 31-12-1789.","{""Seafarers""=>{""I""=>228, ""II""=>7, ""III""=>77, ""IV""=>8, ""V""=>13, ""VI""=>146}, ""Soldiers""=>{""I""=>50, ""II""=>12, ""III""=>18, ""IV""=>60, ""V""=>13, ""VI""=>79}, ""Craftsmen""=>{""I""=>3, ""II""=>0, ""III""=>2, ""IV""=>2, ""V""=>0, ""VI""=>3}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
4419.4,HOOLWERF,"Spek, Benjamin van der",850,"",1769,Hoorn,Amsterdam,24-06-1783,Texel,14-11-1783,17-12-1783,13-04-1784,Batavia,"","After having arrived at Batavia the HOOLWERF sailed on to Ceylon. The following data refer to the HOOLWERF as well as to the PRINSES VAN ORANJE (4423), the BREDERODE (4424), the DRAAK (4426), the ZEEDUIN (4428), the TRITON (4431), the DAPPERHEID (4434), and the 'T LOO (4437): 1881 seafarers, 421 soldiers, 38 craftsmen, and 14 passengers departed from Texel; 1538 seafarers, 267 soldiers, 27 craftsmen, and 32 passengers arrived at Batavia.","{""Total""=>{""I""=>259, ""II""=>5, ""III""=>15, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4421.1,L'ESPERANCE DE LA PAIX,"",600,"",hired,"",Amsterdam, -06-1783,La Rochelle,16-11-1783,"",(16-11-1783),The Cape,"",L'ESPERANCE DE LA PAIX flew the french flag. The ship was bound for the Cape; it probably sailed via the Guinea Coast.,"{""Total""=>{""I""=>40, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4423.5,PRINSES VAN ORANJE,"Volmer, Jan Frederik",1150,"",1768,Amsterdam,Amsterdam,24-07-1783,Texel,29-10-1783,20-12-1783,11-03-1784,Batavia,"",In 1789 the PRINSES VAN ORANJE was laid up in the Indies. See the HOOLWERF (4419).,"{""Total""=>{""I""=>313, ""II""=>5, ""III""=>70, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4425.1,ROZENBURG,"Harmeyer, Gerrit",880,"",1780,Delft,Delft,17-09-1783,Goeree,15-01-1784,14-02-1784,18-05-1784,Batavia,"",See the HINDELOOPEN (4420).,"{""Total""=>{""I""=>285, ""II""=>1, ""III""=>19, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4427.1,STRALEN,"Wijn, Willem de",880,"",1778,Enkhuizen,Enkhuizen,28-09-1783,Texel,15-01-1784,14-02-1784,10-05-1784,Batavia,"","","{""Seafarers""=>{""I""=>179, ""II""=>3, ""III""=>11, ""IV""=>"""", ""V""=>"""", ""VI""=>202}, ""Soldiers""=>{""I""=>36, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>87}, ""Craftsmen""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}, ""Passengers""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4429.5,BLEIJENBURG,"Andriessen, Willem Jakob",880,"",1765,Rotterdam,Rotterdam,12-10-1783,Goeree,20-01-1784,16-04-1784,18-08-1784,Batavia,"",The BLEIJENBURG sailed via Mauritius. In 1789 the ship was laid up in the Indies.,"{""Seafarers""=>{""I""=>183, ""II""=>3, ""III""=>6, ""IV""=>"""", ""V""=>"""", ""VI""=>113}, ""Soldiers""=>{""I""=>59, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}, ""Craftsmen""=>{""I""=>11, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>0}}"
4431.3,TRITON,"Steedsel, Hendrik",1150,"",1773,Amsterdam,Amsterdam,26-10-1783,Texel,18-03-1784,12-04-1784,29-06-1784,Batavia,"",See the HOOLWERF (4419).,"{""Total""=>{""I""=>326, ""II""=>7, ""III""=>20, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4432.1,HARMONIE,"Hoek, Kornelis Philippus",1150,"",1778,Zeeland,Zeeland,07-11-1783,Rammekens,09-03-1784,12-04-1784,02-07-1784,Batavia,"","The 20 passengers, who embarked at the Cape, included 14 Chinese.","{""Soldiers""=>{""I""=>64, ""II""=>6, ""III""=>31, ""IV""=>73, ""V""=>6, ""VI""=>100}, ""Craftsmen""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>22, ""V""=>2, ""VI""=>20}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>1, ""IV""=>20, ""V""=>0, ""VI""=>20}}"
4433.1,BERKHOUT,"Hulleman, Herman Jakob",1150,"",1779,Hoorn,Hoorn,12-12-1783,Texel,30-03-1784,26-04-1784,18-08-1784,Batavia,"",On 25-08-1784 the BERKHOUT departed from Batavia and sailed to China.,"{""Soldiers""=>{""I""=>27, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>21}, ""Craftsmen""=>{""I""=>0, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4435.1,DOGGERSBANK,"Vrolijk, Swerus",1150,"",1782,Amsterdam,Amsterdam,23-12-1783,Texel,15-04-1784,07-05-1784,21-08-1784,Ceylon,"","","{""Total""=>{""I""=>361, ""II""=>1, ""III""=>6, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4436.1,JONGE FRANK,"Veer, Jakob",592,"",hired,"",Amsterdam,23-12-1783,Texel,29-04-1784,16-05-1784,01-08-1784,Batavia,"","","{""Soldiers""=>{""I""=>24, ""II""=>"""", ""III""=>3, ""IV""=>"""", ""V""=>1, ""VI""=>20}, ""Craftsmen""=>{""I""=>8, ""II""=>"""", ""III""=>1, ""IV""=>"""", ""V""=>0, ""VI""=>7}}"
4438.1,MEERMIN,"Duminy, Francois",500,fregat,1782,Amsterdam,Amsterdam,23-12-1783,Texel,03-04-1784,"",(03-04-1784),The Cape,"",The MEERMIN was bound for the Cape.,"{""Total""=>{""I""=>122, ""II""=>1, ""III""=>0, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4440.1,LES QUATRES FRERES,"Nusker, Samuel",620,fregat,hired,"",Amsterdam,27-12-1783,Texel,14-08-1784,15-09-1784,16-12-1784,Batavia,"",LES QUATRES FRERES flew the Prussian flag. During the voyage the ship called at Lorient (departure: 23-05-1784).,"{""Total""=>{""I""=>55, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4442.1,VREDE,"Wilton, John",650,"",bought 1783,Zeeland,Zeeland,06-01-1784,Rammekens,25-04-1784,02-06-1784,13-08-1784,Batavia,"","According to K.A. 4289 the departing crew consisted of 137 men. The VREDE called at Duins, 08 till 29-01-1784. See the VROUWE EVERHARDINA (4422).","{""Total""=>{""I""=>158, ""II""=>3, ""III""=>1, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4443.1,ONZEKERE,"Staalkop, Jakob Johan",348,"",hired,"",Zeeland,08-04-1784,Rammekens,25-07-1784,11-08-1784,15-10-1784,Batavia,"","The ONZEKERE called at Duins, 12 till 29-04-1784.","{""Soldiers""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4445.1,VROUWE WIJNANDA LUBERTA,"Berk, Sijbrand",508,fregat,hired,"",Amsterdam,17-05-1784,Texel,16-08-1784,15-09-1784,13-11-1784,Batavia,"",According to K.A. 4390a the departing crew consisted of 245 men. On 15-09-1784 the VROUWE WIJNANDA LUBERTA set out from False Bay.,"{""Seafarers""=>{""I""=>167, ""II""=>3, ""III""=>15, ""IV""=>"""", ""V""=>"""", ""VI""=>160}, ""Soldiers""=>{""I""=>71, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>62}, ""Passengers""=>{""I""=>1, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
4447.1,BATAVIER,"Laurits, Jan Jansz.",1150,"",1782,Amsterdam,Amsterdam,01-06-1784,Texel,21-09-1784,15-10-1784,27-12-1784,Batavia,"","","{""Seafarers""=>{""I""=>201, ""II""=>4, ""III""=>30, ""IV""=>"""", ""V""=>"""", ""VI""=>200}, ""Soldiers""=>{""I""=>136, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>126}, ""Craftsmen""=>{""I""=>6, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>7}, ""Passengers""=>{""I""=>2, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>3}}"
4449.1,VREDE,"Ketel, Thijs",854,fluit,hired,"",Amsterdam,07-07-1784,Texel,17-01-1785,"",(17-01-1785),The Cape,"",The VREDE was bound for the Cape.,"{""Total""=>{""I""=>58, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4451.1,EIK EN LINDE,"Carlberg, Dirk",574,hoeker,hired,"",Amsterdam,02-08-1784,Texel,18-12-1784,16-01-1785,01-05-1785,Batavia,"",At the departure from Texel the EIK EN LINDE and the EIKENWOUD (4452) were escorted by a man-of-war.,"{""Total""=>{""I""=>254, ""II""=>20, ""III""=>100, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4453.1,SPAARNE,"Otto, Johan",656,hoeker,bought 1784,Amsterdam,Amsterdam,14-08-1784,Texel,21-12-1784,29-01-1785,25-05-1785,Batavia,"","","{""Total""=>{""I""=>255, ""II""=>18, ""III""=>60, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4455.1,MENTOR,"Milfaart, Jan Jochem",560,"",hired,"",Zeeland,21-08-1784,Rammekens,04-12-1784,05-02-1785,12-05-1785,Batavia,"","","{""Total""=>{""I""=>36, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4457.1,CONSTANTIA,"Katersveld, Adriaan van",880,"",1782,Delft,Delft,14-09-1784,Goeree,23-12-1784,16-01-1785,21-04-1785,Batavia,"","","{""Total""=>{""I""=>259, ""II""=>1, ""III""=>12, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4459.1,VROUWE JOHANNA JAKOBA,"Linden, Jan Hendrik van der",444,hoeker,hired,"",Amsterdam,19-09-1784,Texel,13-01-1785,13-02-1785,20-06-1785,Batavia,"","","{""Total""=>{""I""=>37, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4461.1,WILLEM EN JAN,"Zweed, Tijmen de",356,hoeker,hired,"",Amsterdam,19-09-1784,Texel,20-02-1785,12-03-1785,25-06-1785,Batavia,"","","{""Total""=>{""I""=>28, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4463.1,RESOLUTIE,"Man, Justinus Philippus",530,"",bought 1784,Enkhuizen,Enkhuizen,25-09-1784,Texel,13-01-1785,13-02-1785,27-05-1785,Batavia,"","","{""Total""=>{""I""=>73, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4465.1,VOORSCHOTEN,"Kornelissen, Kornelis",1150,"",1783,Amsterdam,Amsterdam,29-09-1784,Texel,23-01-1785,23-02-1785,20-06-1785,Batavia,"",According to K.A. 4390a the departing crew consisted of 290 men. After having arrived at Batavia the VOORSCHOTEN sailed on to China.,"{""Total""=>{""I""=>303, ""II""=>9, ""III""=>30, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4467.1,HOOP,"Kraai, Jan",175,"",bought 1782,Amsterdam,Amsterdam,10-10-1784,Texel,27-12-1784,16-01-1785,24-04-1785,Batavia,"","","{""Total""=>{""I""=>33, ""II""=>1, ""III""=>1, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4469.1,POLLUX,"Kappelhof, Lodewijk",550,"",bought 1784,Zeeland,Zeeland,30-10-1784,Rammekens,03-03-1785,30-03-1785,20-06-1785,Batavia,"",The POLLUX sailed on to China.,"{""Total""=>{""I""=>166, ""II""=>4, ""III""=>24, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4471.1,HUISDUINEN,"Kornelissen, Laurens",723,"",bought 1784,Amsterdam,Amsterdam,12-12-1784,Texel,27-03-1785,08-05-1785,01-07-1785,Ceylon,"",See the BARBESTEIN (4470).,"{""Total""=>{""I""=>175, ""II""=>2, ""III""=>10, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4473.2,PAREL,"Anker, Kornelis in 't",1150,"",1778,Amsterdam,Zeeland,12-12-1784,Rammekens,27-05-1785,25-07-1785,24-09-1785,Batavia,"","During a heavy storm the PAREL lost its foremast and bowsprit. For that reason the ship was forced to call at S. Tiago, 30-01 till 30-03-1785. Two spars were  supplied by the PHOENIX, a Dutch man-of-war, which called at the island from 03 till 07-02-1785.","{""Total""=>{""I""=>350, ""II""=>5, ""III""=>17, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
